Image name,object name,area of bb,ImmediatelyLargerThan
download (1).jpg.txt,car,30622,na
download (10).jpg.txt,cat,36182,cup
download (10).jpg.txt,cup,9348,na
download (11).jpg.txt,cat,39767,na
download (12).jpg.txt,cat,44517,diningtable
download (12).jpg.txt,diningtable,37260,na
download (13).jpg.txt,cat,35298,na
download (14).jpg.txt,elephant,17000,elephant
download (14).jpg.txt,elephant,10584,na
download (15).jpg.txt,elephant,5063,elephant
download (15).jpg.txt,elephant,4446,elephant
download (15).jpg.txt,elephant,3717,cow
download (15).jpg.txt,cow,3481,cow
download (15).jpg.txt,cow,3072,cow
download (15).jpg.txt,cow,2970,elephant
download (15).jpg.txt,elephant,836,cow
download (15).jpg.txt,cow,805,elephant
download (15).jpg.txt,elephant,315,na
download (16).jpg.txt,elephant,20096,elephant
download (16).jpg.txt,elephant,5920,na
download (17).jpg.txt,elephant,24165,car
download (17).jpg.txt,car,19221,elephant
download (17).jpg.txt,elephant,5376,na
download (18).jpg.txt,dog,18923,car
download (18).jpg.txt,car,17776,na
download (19).jpg.txt,car,24924,elephant
download (19).jpg.txt,elephant,2688,na
download (2).jpg.txt,car,14014,car
download (2).jpg.txt,car,540,na
download (3).jpg.txt,person,21021,car
download (3).jpg.txt,car,3774,na
download (4).jpg.txt,car,24976,na
download (5).jpg.txt,car,29975,na
download (6).jpg.txt,bus,15762,na
download (7).jpg.txt,bus,21879,traffic light
download (7).jpg.txt,traffic light,36,na
download (8).jpg.txt,bus,32034,na
download (9).jpg.txt,bus,26105,person
download (9).jpg.txt,person,150,na
download.jpg.txt,car,18270,na
images (1).jpg.txt,car,30444,truck
images (1).jpg.txt,truck,27939,elephant
images (1).jpg.txt,elephant,21838,car
images (1).jpg.txt,car,19104,truck
images (1).jpg.txt,truck,15834,na
images.jpg.txt,person,27552,car
images.jpg.txt,car,21543,person
images.jpg.txt,person,10395,person
images.jpg.txt,person,975,person
images.jpg.txt,person,814,elephant
images.jpg.txt,elephant,400,na
