Image name,Object number,X1,Y1,X2,Y2,object name
download (1).jpg.txt,2,26,22,277,144,car
download (10).jpg.txt,15,47,6,276,164,cat
download (10).jpg.txt,41,1,0,83,114,cup
download (11).jpg.txt,15,18,3,265,164,cat
download (12).jpg.txt,15,1,10,181,217,cat
download (12).jpg.txt,60,8,9,221,218,diningtable
download (13).jpg.txt,15,35,0,257,159,cat
download (14).jpg.txt,20,84,34,209,170,elephant
download (14).jpg.txt,20,4,36,88,162,elephant
download (15).jpg.txt,20,196,55,255,114,elephant
download (15).jpg.txt,19,77,58,155,115,cow
download (15).jpg.txt,20,254,50,299,116,elephant
download (15).jpg.txt,19,7,74,71,122,cow
download (15).jpg.txt,19,171,83,194,118,cow
download (15).jpg.txt,19,241,52,300,115,cow
download (15).jpg.txt,20,69,74,88,118,elephant
download (15).jpg.txt,20,79,53,162,114,elephant
download (15).jpg.txt,20,159,96,174,117,elephant
download (16).jpg.txt,20,41,8,169,165,elephant
download (16).jpg.txt,20,139,85,213,165,elephant
download (17).jpg.txt,20,21,20,200,155,elephant
download (17).jpg.txt,2,137,91,221,155,car
download (17).jpg.txt,20,48,24,197,153,elephant
download (18).jpg.txt,2,83,61,259,162,car
download (18).jpg.txt,16,22,6,171,133,dog
download (19).jpg.txt,20,48,26,249,150,elephant
download (19).jpg.txt,2,103,104,167,146,car
download (2).jpg.txt,2,66,54,248,131,car
download (2).jpg.txt,2,234,73,270,88,car
download (3).jpg.txt,0,245,33,279,144,person
download (3).jpg.txt,2,18,64,249,155,car
download (4).jpg.txt,2,18,34,241,146,car
download (5).jpg.txt,2,0,32,275,141,car
download (6).jpg.txt,5,9,47,231,118,bus
download (7).jpg.txt,5,26,54,247,153,bus
download (7).jpg.txt,9,4,83,8,92,traffic light
download (8).jpg.txt,5,11,28,292,142,bus
download (9).jpg.txt,5,15,39,242,154,bus
download (9).jpg.txt,0,254,96,259,126,person
download.jpg.txt,2,38,64,241,154,car
images (1).jpg.txt,20,67,35,246,157,elephant
images (1).jpg.txt,7,52,36,253,175,truck
images (1).jpg.txt,2,85,102,259,193,car
images (1).jpg.txt,7,19,65,255,194,truck
images (1).jpg.txt,2,60,98,259,194,car
images.jpg.txt,0,156,96,291,173,person
images.jpg.txt,2,0,44,167,173,car
images.jpg.txt,20,86,0,250,168,elephant
images.jpg.txt,0,261,114,286,153,person
images.jpg.txt,0,41,108,63,145,person
images.jpg.txt,0,42,109,62,129,person
