Image name,X1,Y1,X2,Y2,object name,X-centre,Y-centre,X-Image Dimentions,Y-Image Dimentions,diagonal object,has on the left,has on the right,has on the top,has on the bottom,has in the center
download (1).jpg,26,22,277,144,car,151.5,83,299,168,279.0788419,na,na,na,na,car
download (10).jpg,47,6,276,164,cat,161.5,85,300,168,278.2175408,na,na,na,na,cat
download (10).jpg,1,0,83,114,cup,42,57,300,168,140.4279175,cup,na,na,na,cup
download (11).jpg,18,3,265,164,cat,141.5,83.5,300,168,294.8389391,na,na,na,na,cat
download (12).jpg,1,10,181,217,cat,91,113.5,225,224,274.3155118,na,na,na,na,cat
download (12).jpg,8,9,221,218,dining table,114.5,113.5,225,224,298.4124662,na,na,na,na,dining table
download (13).jpg,35,0,257,159,cat,146,79.5,318,159,273.0659261,na,na,na,na,cat
download (14).jpg,84,34,209,170,elephant,146.5,102,259,194,184.7187051,na,na,na,na,elephant
download (14).jpg,4,36,88,162,elephant,46,99,259,194,151.4331536,elephant,na,na,na,elephant
download (15).jpg,196,55,255,114,elephant,225.5,84.5,300,168,83.43860018,na,elephant,na,na,elephant
download (15).jpg,77,58,155,115,cow,116,86.5,300,168,96.60745313,na,na,na,na,cow
download (15).jpg,254,50,299,116,elephant,276.5,83,300,168,79.88116173,na,elephant,na,na,elephant
download (15).jpg,7,74,71,122,cow,39,98,300,168,80,cow,na,na,na,cow
download (15).jpg,171,83,194,118,cow,182.5,100.5,300,168,41.88078318,na,na,na,na,cow
download (15).jpg,241,52,300,115,cow,270.5,83.5,300,168,86.31338251,na,cow,na,na,cow
download (15).jpg,69,74,88,118,elephant,78.5,96,300,168,47.92702787,elephant,na,na,na,elephant
download (15).jpg,79,53,162,114,elephant,120.5,83.5,300,168,103.0048543,na,na,na,na,elephant
download (15).jpg,159,96,174,117,elephant,166.5,106.5,300,168,25.8069758,na,na,na,na,elephant
download (16).jpg,41,8,169,165,elephant,105,86.5,274,184,202.5660386,na,na,na,na,elephant
download (16).jpg,139,85,213,165,elephant,176,125,274,184,108.9770618,na,na,na,elephant,elephant
download (17).jpg,21,20,200,155,elephant,110.5,87.5,275,183,224.2008029,na,na,na,na,elephant
download (17).jpg,137,91,221,155,car,179,123,275,183,105.6030303,na,na,na,car,car
download (17).jpg,48,24,197,153,elephant,122.5,88.5,275,183,197.0837385,na,na,na,na,elephant
download (18).jpg,83,61,259,162,car,171,111.5,266,190,202.921167,na,na,na,na,car
download (18).jpg,22,6,171,133,dog,96.5,69.5,266,190,195.7804893,na,na,na,na,dog
download (19).jpg,48,26,249,150,elephant,148.5,88,281,179,236.1715478,na,na,na,na,elephant
download (19).jpg,103,104,167,146,car,135,125,281,179,76.55063684,na,na,na,car,car
download (2).jpg,66,54,248,131,car,157,92.5,300,168,197.618319,na,na,na,na,car
download (2).jpg,234,73,270,88,car,252,80.5,300,168,39,na,car,na,na,car
download (3).jpg,245,33,279,144,person,262,88.5,300,168,116.090482,na,person,na,na,person
download (3).jpg,18,64,249,155,car,133.5,109.5,300,168,248.2780699,na,na,na,na,car
download (4).jpg,18,34,241,146,car,129.5,90,259,194,249.545587,na,na,na,na,car
download (5).jpg,0,32,275,141,car,137.5,86.5,275,183,295.8141308,na,na,na,na,car
download (6).jpg,9,47,231,118,bus,120,82.5,259,194,233.0772404,na,na,na,na,bus
download (7).jpg,26,54,247,153,bus,136.5,103.5,293,172,242.1611034,na,na,na,na,bus
download (7).jpg,4,83,8,92,traffic light,6,87.5,293,172,9.848857802,traffic light,na,na,na,traffic light
download (8).jpg,11,28,292,142,bus,151.5,85,318,159,303.2441261,na,na,na,na,bus
download (9).jpg,15,39,242,154,bus,128.5,96.5,259,194,254.4680727,na,na,na,na,bus
download (9).jpg,254,96,259,126,person,256.5,111,259,194,30.41381265,na,person,na,na,person
download.jpg,38,64,241,154,car,139.5,109,295,171,222.0562992,na,na,na,na,car
images (1).jpg,67,35,246,157,elephant,156.5,96,259,194,216.6217902,na,na,na,na,elephant
images (1).jpg,52,36,253,175,truck,152.5,105.5,259,194,244.3808503,na,na,na,na,truck
images (1).jpg,85,102,259,193,car,172,147.5,259,194,196.3593644,na,na,na,car,car
images (1).jpg,19,65,255,194,truck,137,129.5,259,194,268.9553866,na,na,na,truck,truck
images (1).jpg,60,98,259,194,car,159.5,146,259,194,220.9456947,na,na,na,car,car
images.jpg,156,96,291,173,person,223.5,134.5,291,173,155.4155719,na,person,na,person,person
images.jpg,0,44,167,173,car,83.5,108.5,291,173,211.0213259,car,na,na,na,car
images.jpg,86,0,250,168,elephant,168,84,291,173,234.7764895,na,na,na,na,elephant
images.jpg,261,114,286,153,person,273.5,133.5,291,173,46.32493929,na,person,na,person,person
images.jpg,41,108,63,145,person,52,126.5,291,173,43.0464865,person,na,na,person,person
images.jpg,42,109,62,129,person,52,119,291,173,28.28427125,person,na,na,person,person
