Image name,object name,X-centre,immediatelyLeftOf
download (1).jpg.txt,car,151.5,na
download (10).jpg.txt,cup,42,cat
download (10).jpg.txt,cat,161.5,na
download (11).jpg.txt,cat,141.5,na
download (12).jpg.txt,cat,91,diningtable
download (12).jpg.txt,diningtable,114.5,na
download (13).jpg.txt,cat,146,na
download (14).jpg.txt,elephant,46,elephant
download (14).jpg.txt,elephant,146.5,na
download (15).jpg.txt,cow,39,elephant
download (15).jpg.txt,elephant,78.5,cow
download (15).jpg.txt,cow,116,elephant
download (15).jpg.txt,elephant,120.5,elephant
download (15).jpg.txt,elephant,166.5,cow
download (15).jpg.txt,cow,182.5,elephant
download (15).jpg.txt,elephant,225.5,cow
download (15).jpg.txt,cow,270.5,elephant
download (15).jpg.txt,elephant,276.5,na
download (16).jpg.txt,elephant,105,elephant
download (16).jpg.txt,elephant,176,na
download (17).jpg.txt,elephant,110.5,elephant
download (17).jpg.txt,elephant,122.5,car
download (17).jpg.txt,car,179,na
download (18).jpg.txt,dog,96.5,car
download (18).jpg.txt,car,171,na
download (19).jpg.txt,car,135,elephant
download (19).jpg.txt,elephant,148.5,na
download (2).jpg.txt,car,157,car
download (2).jpg.txt,car,252,na
download (3).jpg.txt,car,133.5,person
download (3).jpg.txt,person,262,na
download (4).jpg.txt,car,129.5,na
download (5).jpg.txt,car,137.5,na
download (6).jpg.txt,bus,120,na
download (7).jpg.txt,traffic light,6,bus
download (7).jpg.txt,bus,136.5,na
download (8).jpg.txt,bus,151.5,na
download (9).jpg.txt,bus,128.5,person
download (9).jpg.txt,person,256.5,na
download.jpg.txt,car,139.5,na
images (1).jpg.txt,truck,137,truck
images (1).jpg.txt,truck,152.5,elephant
images (1).jpg.txt,elephant,156.5,car
images (1).jpg.txt,car,159.5,car
images (1).jpg.txt,car,172,na
images.jpg.txt,person,52,na
images.jpg.txt,person,52,car
images.jpg.txt,car,83.5,elephant
images.jpg.txt,elephant,168,person
images.jpg.txt,person,223.5,person
images.jpg.txt,person,273.5,na
