Image name,Object number,X1,Y1,X2,Y2,object name
download (1).jpg.txt,2,26,22,277,144,car
download (10).jpg.txt,41,1,0,83,114,cup
download (11).jpg.txt,15,18,3,265,164,cat
download (12).jpg.txt,15,1,10,181,217,cat
download (13).jpg.txt,15,35,0,257,159,cat
download (14).jpg.txt,20,4,36,88,162,elephant
download (15).jpg.txt,19,7,74,71,122,cow
download (16).jpg.txt,20,41,8,169,165,elephant
download (17).jpg.txt,20,21,20,200,155,elephant
download (18).jpg.txt,16,22,6,171,133,dog
download (19).jpg.txt,20,48,26,249,150,elephant
download (2).jpg.txt,2,66,54,248,131,car
download (3).jpg.txt,2,18,64,249,155,car
download (4).jpg.txt,2,18,34,241,146,car
download (5).jpg.txt,2,0,32,275,141,car
download (6).jpg.txt,5,9,47,231,118,bus
download (7).jpg.txt,9,4,83,8,92,traffic light
download (8).jpg.txt,5,11,28,292,142,bus
download (9).jpg.txt,5,15,39,242,154,bus
download.jpg.txt,2,38,64,241,154,car
images (1).jpg.txt,7,19,65,255,194,truck
images.jpg.txt,2,0,44,167,173,car
