Image name,Object number,X1,Y1,X2,Y2,object name,X-centre,Y-centre,X-Image Dimentions,Y-Image Dimentions,(1/4)*Y-cordinates,(1/4)*X-cordinates,y centre of object,x centre of object,X centre < (1/4)*X-cordinates,has on the left,has on the right,has on the top,has on the buttom,has in the center,has isolated object,left of
download (1).jpg.txt,2,26,22,277,144,car,151.5,83.0,168,299,74.75,42.0,83.0,151.5,False,car,car,na,na,na,car,
download (10).jpg.txt,41,1,0,83,114,cup,42.0,57.0,168,300,75.0,42.0,57.0,42.0,False,cup,na,cup,na,na,cup,
download (11).jpg.txt,15,18,3,265,164,cat,141.5,83.5,168,300,75.0,42.0,83.5,141.5,False,cat,cat,na,na,na,na,
download (12).jpg.txt,15,1,10,181,217,cat,91.0,113.5,224,225,56.25,56.0,113.5,91.0,False,cat,na,na,na,na,cat,
download (12).jpg.txt,60,8,9,221,218,diningtable,114.5,113.5,224,225,56.25,56.0,113.5,114.5,False,diningtable,na,na,na,na,na,
download (13).jpg.txt,15,35,0,257,159,cat,146.0,79.5,159,318,79.5,39.75,79.5,146.0,False,cat,cat,na,na,na,na,
download (14).jpg.txt,20,4,36,88,162,elephant,46.0,99.0,194,259,64.75,48.5,99.0,46.0,True,na,na,na,na,na,na,
download (15).jpg.txt,20,254,50,299,116,elephant,276.5,83.0,168,300,75.0,42.0,83.0,276.5,False,elephant,elephant,na,na,na,na,
download (16).jpg.txt,20,41,8,169,165,elephant,105.0,86.5,184,274,68.5,46.0,86.5,105.0,False,elephant,na,na,na,na,na,
download (17).jpg.txt,20,21,20,200,155,elephant,110.5,87.5,183,275,68.75,45.75,87.5,110.5,False,elephant,na,na,na,na,na,
download (18).jpg.txt,16,22,6,171,133,dog,96.5,69.5,190,266,66.5,47.5,69.5,96.5,False,dog,na,na,na,na,na,
download (19).jpg.txt,20,48,26,249,150,elephant,148.5,88.0,179,281,70.25,44.75,88.0,148.5,False,elephant,elephant,na,na,na,na,
download (2).jpg.txt,2,234,73,270,88,car,252.0,80.5,168,300,75.0,42.0,80.5,252.0,False,car,car,na,na,na,na,
download (3).jpg.txt,0,245,33,279,144,person,262.0,88.5,168,300,75.0,42.0,88.5,262.0,False,person,person,na,na,na,na,
download (4).jpg.txt,2,18,34,241,146,car,129.5,90.0,194,259,64.75,48.5,90.0,129.5,False,car,na,na,na,na,na,
download (5).jpg.txt,2,0,32,275,141,car,137.5,86.5,183,275,68.75,45.75,86.5,137.5,False,car,car,na,na,na,na,
download (6).jpg.txt,5,9,47,231,118,bus,120.0,82.5,194,259,64.75,48.5,82.5,120.0,False,bus,na,na,na,na,na,
download (7).jpg.txt,9,4,83,8,92,traffic light,6.0,87.5,172,293,73.25,43.0,87.5,6.0,True,na,na,na,na,na,na,
download (8).jpg.txt,5,11,28,292,142,bus,151.5,85.0,159,318,79.5,39.75,85.0,151.5,False,bus,bus,na,na,na,na,
download (9).jpg.txt,5,15,39,242,154,bus,128.5,96.5,194,259,64.75,48.5,96.5,128.5,False,bus,na,na,na,na,na,
download.jpg.txt,2,38,64,241,154,car,139.5,109.0,171,295,73.75,42.75,109.0,139.5,False,car,car,na,na,na,na,
images (1).jpg.txt,20,67,35,246,157,elephant,156.5,96.0,194,259,64.75,48.5,96.0,156.5,False,elephant,elephant,na,na,na,na,
images.jpg.txt,20,86,0,250,168,elephant,168.0,84.0,173,291,72.75,43.25,84.0,168.0,False,elephant,elephant,na,na,na,na,
