Image name,object name
download (1).jpg.txt,car
download (10).jpg.txt,"cat, cup"
download (11).jpg.txt,cat
download (12).jpg.txt,"cat, diningtable"
download (13).jpg.txt,cat
download (14).jpg.txt,"elephant, elephant"
download (15).jpg.txt,"elephant, cow, elephant, cow, cow, cow, elephant, elephant, elephant"
download (16).jpg.txt,"elephant, elephant"
download (17).jpg.txt,"elephant, car, elephant"
download (18).jpg.txt,"car, dog"
download (19).jpg.txt,"elephant, car"
download (2).jpg.txt,"car, car"
download (3).jpg.txt,"person, car"
download (4).jpg.txt,car
download (5).jpg.txt,car
download (6).jpg.txt,bus
download (7).jpg.txt,"bus, traffic light"
download (8).jpg.txt,bus
download (9).jpg.txt,"bus, person"
download.jpg.txt,car
images (1).jpg.txt,"elephant, truck, car, truck, car"
images.jpg.txt,"person, car, elephant, person, person, person"
