Image name,Object number,X1,Y1,X2,Y2,object name
download (1).jpg.txt,2,26,22,277,144,car
download (10).jpg.txt,15,47,6,276,164,cat
download (11).jpg.txt,15,18,3,265,164,cat
download (12).jpg.txt,60,8,9,221,218,diningtable
download (13).jpg.txt,15,35,0,257,159,cat
download (14).jpg.txt,20,84,34,209,170,elephant
download (15).jpg.txt,20,254,50,299,116,elephant
download (16).jpg.txt,20,139,85,213,165,elephant
download (17).jpg.txt,2,137,91,221,155,car
download (18).jpg.txt,2,83,61,259,162,car
download (19).jpg.txt,2,103,104,167,146,car
download (2).jpg.txt,2,234,73,270,88,car
download (3).jpg.txt,0,245,33,279,144,person
download (4).jpg.txt,2,18,34,241,146,car
download (5).jpg.txt,2,0,32,275,141,car
download (6).jpg.txt,5,9,47,231,118,bus
download (7).jpg.txt,5,26,54,247,153,bus
download (8).jpg.txt,5,11,28,292,142,bus
download (9).jpg.txt,0,254,96,259,126,person
download.jpg.txt,2,38,64,241,154,car
images (1).jpg.txt,2,85,102,259,193,car
images.jpg.txt,0,261,114,286,153,person
